0,0,0.392433
1,0,0.016669
2,0,0.510037
3,0,0.010001
4,0,0.080047
5,0,0.025002
6,1,0.887200
7,0,0.012500
8,0,0.082269
9,0,0.069749
10,0,0.066630
11,1,0.711886
12,0,0.613585
13,0,0.010001
14,0,0.012507
15,0,0.033333
16,0,0.652168
17,0,0.286187
18,0,0.186240
19,0,0.109495
20,0,0.238792
21,0,0.401061
22,0,0.204194
23,0,0.328632
24,0,0.025003
25,0,0.176530
26,1,0.241824
27,0,0.099550
28,0,0.156301
29,0,0.025000
30,1,0.170875
31,3,0.180438
32,0,0.524997
33,4,0.104493
34,0,0.016668
35,1,0.036795
36,1,0.089698
37,4,0.266684
38,3,0.029459
39,0,0.016669
40,4,0.537730
41,4,0.021319
42,0,0.033333
43,1,0.052667
44,1,0.485797
45,1,0.651963
46,3,0.217452
47,0,0.119240
48,4,0.954993
49,0,0.011111
50,0,0.016669
51,0,0.025000
52,0,0.101398
53,0,0.924994
54,4,0.452262
55,0,0.095411
56,0,0.412879
57,1,0.107454
58,0,0.454178
59,0,0.871415
60,0,0.090349
61,0,0.027535
62,0,0.103024
63,3,0.048466
64,0,0.050000
65,0,0.871429
66,0,0.841667
67,0,0.871402
68,0,0.632871
69,0,0.524999
70,0,0.480267
71,0,0.595569
72,1,0.113234
73,0,0.025000
74,0,0.046630
75,0,0.113387
76,1,0.147365
77,0,0.124522
78,5,0.154974
79,3,0.138290
80,0,0.774999
81,0,0.025000
82,0,0.315238
83,0,0.132834
84,2,0.160738
85,0,0.774972
86,4,0.032919
87,0,0.073625
88,0,0.100409
89,6,0.196570
90,0,0.220032
91,0,0.918181
92,0,0.420012
93,0,0.887481
94,0,0.025000
95,1,0.107395
96,0,0.739007
97,5,0.205693
98,1,0.104350
99,0,0.899988
100,4,0.029219
101,0,0.027995
102,0,0.918181
103,0,0.871402
104,0,0.372268
105,0,0.025000
106,1,0.077575
107,1,0.071139
108,0,0.014289
109,0,0.024072
110,0,0.016667
111,0,0.083091
112,0,0.130058
113,1,0.090149
114,0,0.145153
